,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Number of Deaths
0,2534609852.1298127,1.5750138519163068,0.0,0.0,1643298400.687889,2.4923344640227048,0.0,0.0,0.0,0.0,0.0,0.0,4.067348315939012
1,1220179567.1131034,1.0293720518839535,66194309.60682394,0.07449621946171095,1304746372.3804574,2.7483673204427843,0.0,0.0,0.0,0.0,0.0,0.0,3.8522355917884488
2,163293536.50366902,0.1157920015180496,216079155.6200745,0.1976943503174678,1669066820.5384314,2.835420563285985,0.0,0.0,0.0,0.0,0.0,0.0,3.1489069151215023
3,2233349457.419664,1.560080792674572,0.0,0.0,1473012841.5124855,2.5299840814269974,0.0,0.0,0.0,0.0,0.0,0.0,4.09006487410157
4,1994482265.419149,1.562638302055705,0.0,0.0,467096391.0057908,0.8947966482227563,0.0,0.0,0.0,0.0,0.0,0.0,2.4574349502784614
5,1350499824.0578725,0.9119321084104882,69244616.06085011,0.06205039104198876,1628935744.0659595,2.7324520747306327,0.0,0.0,0.0,0.0,0.0,0.0,3.7064345741831097
6,1638158075.8555849,1.0304747333406592,39026616.77819046,0.032898724945979924,1748554673.5192726,2.744480757377381,0.0,0.0,0.0,0.0,0.0,0.0,3.8078542156640203
7,2428490443.153799,1.4181511527789046,99243109.9596006,0.07645494330932465,1817525828.4273648,2.641179441664065,0.0,0.0,0.0,0.0,0.0,0.0,4.1357855377522945
8,1997294248.9441237,1.565392455570876,0.0,0.0,961005991.9085914,1.8496541958439643,431899.63120610756,0.00014283554257717455,0.0,0.0,0.0,0.0,3.4151894869574178
9,274602031.3323387,0.2628839241362028,337186758.80871713,0.4117958210626451,1197027770.237544,2.7741484756069092,0.0,0.0,0.0,0.0,0.0,0.0,3.4488282208057575
10,375614141.6918863,0.3343360476580379,122266747.59667604,0.14326129429602716,1296526943.9663813,2.8330418655273144,0.0,0.0,0.0,0.0,0.0,0.0,3.3106392074813797
11,2126930422.6693614,1.569543565653002,19024721.256008197,0.019963664845878897,1459750159.5282712,2.7116980864454434,0.0,0.0,0.0,0.0,0.0,0.0,4.3012053169443245
12,2293048532.7695932,1.5765289066311818,0.0,0.0,352014420.06118286,0.5941847056255559,0.0,0.0,0.0,0.0,0.0,0.0,2.170713612256738
13,1892956194.81563,1.3955086895979032,9201635.045192204,0.009457280107122979,1445935804.9526682,2.6720183046220165,0.0,0.0,0.0,0.0,0.0,0.0,4.076984274327042
14,114876828.5154959,0.11119685194423036,179571251.2999213,0.2235101245772317,1194592357.149321,2.7655659052373345,0.0,0.0,0.0,0.0,0.0,0.0,3.1002728817587966
15,2105750170.2373161,1.5574855035081887,68962372.19815023,0.06900618488876614,1409396325.8000598,2.5833996502093437,0.0,0.0,0.0,0.0,0.0,0.0,4.209891338606298
16,2496917578.8142376,1.545783670906849,0.0,0.0,84622546.61048186,0.12824877724039854,0.0,0.0,0.0,0.0,0.0,0.0,1.6740324481472477
17,1963866864.1225922,1.5326718184587187,8897392.156270381,0.009986506395389158,1374300299.069996,2.7136841637937352,0.0,0.0,0.0,0.0,0.0,0.0,4.256342488647843
18,2251317541.9473557,1.5757812352094156,0.0,0.0,1507137703.1441514,2.622141390441453,0.0,0.0,0.0,0.0,0.0,0.0,4.197922625650868
19,2244180715.627087,1.569543565653002,0.0,0.0,1506201306.9173324,2.6196087150077982,0.0,0.0,0.0,0.0,0.0,0.0,4.1891522806608
20,2167252690.934168,1.5023907712854483,0.0,0.0,1066977544.4290533,1.8212357919610804,0.0,0.0,0.0,0.0,0.0,0.0,3.3236265632465285
21,2918279742.270589,1.5574855035081887,0.0,0.0,2001588894.8980372,2.683560872551092,13540692.59043783,0.004979116880799135,0.0,0.0,0.0,0.0,4.246025492940079
22,2248177391.724874,1.5730366384314347,0.0,0.0,273125551.1407132,0.4683895375447399,0.0,0.0,0.0,0.0,0.0,0.0,2.0414261759761745
23,485403105.16498166,0.32785366534051386,0.0,0.0,1694512670.2750034,2.812536418982538,0.0,0.0,0.0,0.0,0.0,0.0,3.140390084323052
24,2495254484.365791,1.5444949196278448,0.0,0.0,143012724.59888393,0.21754684582956446,0.0,0.0,0.0,0.0,0.0,0.0,1.7620417654574092
25,154153908.46640345,0.11486929129559577,34138301.111393295,0.03402701641729765,1586782926.234409,2.8381089901961896,0.0,0.0,0.0,0.0,0.0,0.0,2.987005297909083
26,2245623708.925353,1.5708047362726911,0.0,0.0,678313710.9174056,1.1691225477700715,0.0,0.0,0.0,0.0,0.0,0.0,2.7399272840427624
27,148072610.4524675,0.1172681406921542,0.0,0.0,1517440460.9276295,2.8930506287494953,0.0,0.0,10858190.317960884,0.010533092961723127,0.0,0.0,3.0208518624033727
28,2752348325.129184,1.5569029353197117,0.0,0.0,1860776972.4784527,2.6229559501127184,8595780.547355274,0.002172392494551457,0.0,0.0,0.0,0.0,4.182031277926981
29,244748605.1249102,0.21468456450405526,127739256.5324733,0.1467891397919628,1341292507.9710672,2.8658035116574685,0.0,0.0,0.0,0.0,0.0,0.0,3.2272772159534866
30,149007198.9415,0.11026646966361177,0.0,0.0,1560118905.4757025,2.765040899224604,0.0,0.0,0.0,0.0,0.0,0.0,2.875307368888216
31,56597295.24772973,0.050538870632229664,17171789.590937287,0.020712745043061725,1324880160.069841,2.8145436460246622,24757006.91714304,0.013737710438913843,0.0,0.0,0.0,0.0,2.8995329721388674
32,1392004566.2947102,1.0187887144137346,0.0,0.0,1499698799.2240696,2.7448273356202533,0.0,0.0,0.0,0.0,0.0,0.0,3.763616050033988
33,2650690563.7933245,1.5678660866969754,23193923.153330885,0.01906551562049873,1777693289.398872,2.6129994752912813,0.0,0.0,0.0,0.0,0.0,0.0,4.199931077608755
34,2207732628.4146094,1.5377189942264071,20083243.59426637,0.019982990510994333,1541210934.4124086,2.714619904403484,0.0,0.0,0.0,0.0,0.0,0.0,4.272321889140885
35,2377332969.394755,1.5427317434860353,0.0,0.0,438105975.53928834,0.7048761695686353,0.0,0.0,0.0,0.0,0.0,0.0,2.2476079130546704
36,129592807.82203272,0.1150403398339375,0.0,0.0,1334127292.114533,2.8434585570198108,19619257.963188667,0.01099849414496617,3497798.430769845,0.0038773987688830907,0.0,0.0,2.9733747897675973
37,1719517644.9791315,1.5711031763198382,0.0,0.0,1172144711.5537965,2.686849178998828,0.0,0.0,0.0,0.0,0.0,0.0,4.2579523553186664
38,2535598640.802897,1.5757812352094156,0.0,0.0,1232048406.1105173,1.8939171014275944,0.0,0.0,0.0,0.0,0.0,0.0,3.46969833663701
39,138735150.23408777,0.1161216663069582,158439546.16510347,0.1716093291057793,1417104399.91275,2.8426604228225267,0.0,0.0,0.0,0.0,0.0,0.0,3.130391418235264
40,165792397.00205725,0.11505827786945586,356867605.2241154,0.3147562164483738,1695619606.5747573,2.8153428848764426,0.0,0.0,764553363.3762176,0.6099281967711523,0.0,0.0,3.8550855759654246
41,2228534197.470175,1.5558756639846805,0.0,0.0,1077662750.7583604,1.850064904171806,0.0,0.0,0.0,0.0,0.0,0.0,3.4059405681564865
