,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,policy,model
10,112.0,265.26266693805144,10.0,0.2686366365368497,86.46391563084099,1.5,0.8282174886594906,149.3159143466003,10.0,0.003487523227090203,100.15166998787659,1.0,0.6206138414572958,129.84505914056902,10.0,0.3576765943653867,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
12,71.0,110.4976082513612,10.0,0.370923533928938,226.85403241172168,1.5,0.2590962856610586,209.66822638500386,10.0,0.06144854456238155,43.82406554540985,1.0,0.6446215773169128,244.39793102335517,1.5,0.052060388141694926,4.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
42,89.0,284.91289680934733,1.0,0.5327798958500269,33.42062154966047,1.5,0.27513605196482616,289.1855615772232,1.5,0.0236731066899583,201.25920095649886,1.0,0.4995109210928364,315.7523328915655,1.5,0.40868049038345294,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
45,97.0,160.18763583912232,1.0,0.008844593913938523,122.61073271151187,1.0,0.8349838309309867,71.19981705023747,1.0,0.0005560683148281766,39.22867741254695,1.0,0.9037400251149341,344.0557089177613,10.0,0.2386704084154103,4.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
59,64.0,262.914093448494,1.5,0.06334121594396673,167.8091463828412,1.0,0.7766639831802206,231.95746559303538,10.0,0.035416009965578685,101.80310947998942,1.0,0.605195830927042,147.16427856968122,1.5,0.5997366688348374,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
60,101.0,347.33661369598053,1.5,0.38136420347346894,77.26296505925221,1.5,0.2683645540520203,253.8166328539825,1.0,0.0518109925686835,117.5907522591213,1.0,0.7513295233576835,84.82487973085884,10.0,0.0340041576540256,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
70,62.0,169.41557785620068,1.0,0.3722907720431549,234.88950146128053,1.0,0.2807314997628065,198.7071876624073,10.0,0.11521946396678895,330.3847393352277,10.0,0.2510588416860459,143.33362390388874,10.0,0.5682468778164348,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
80,97.0,207.87332560764358,1.5,0.35381304152784576,107.12475318888309,1.0,0.1989462988625542,163.43726008261117,10.0,0.0867596736854179,297.8754846174138,10.0,0.31981352774176497,159.31528504156506,10.0,0.3581877417177348,2.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
83,58.0,189.3748815711957,1.0,0.2201418505435816,65.10915616035197,10.0,0.3767826986741937,321.45632624864487,1.0,0.049295641103459915,169.95893687477366,1.5,0.013146780009951838,257.79920096521016,10.0,0.741123062348966,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
91,14.0,128.78741878521316,10.0,0.4597909562115778,243.54723644838302,10.0,0.16113479745077064,98.21524137135476,1.5,0.03512489549403513,214.11340288755508,10.0,0.2879915066475892,305.39834269768346,1.0,0.17296348959734156,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
103,25.0,185.578953960195,1.0,0.45046881198254707,149.2612164240902,10.0,0.32952178118924497,96.65982802911672,1.0,0.09200074146033058,334.71217927308896,10.0,0.7657931122956982,209.15096892961472,1.5,0.8529530978443283,3.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
104,87.0,47.65734414690206,1.0,0.1981229785296874,321.74905327702635,1.5,0.5253166577911326,291.83664822382394,1.5,0.11156145933022094,194.66185469800342,10.0,0.8753538507416934,60.094677177593496,1.0,0.8032459814322478,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
